file,size_bytes,size_mb
adapter_config.json,1061,0.001012
adapter_model.safetensors,119801528,114.251640
chat_template.jinja,2507,0.002391
lora_state_dict.pt,119914175,114.359069
README.md,5226,0.004984
tokenizer.json,11421892,10.892765
tokenizer_config.json,664,0.000633
training_args.bin,5585,0.005326

tensor_name,shape,numel,memory_bytes
base_model.model.model.layers.20.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.20.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.20.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.20.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.20.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.20.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.20.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.21.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.21.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.21.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.21.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.21.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.21.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.21.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.21.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.21.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.22.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.22.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.22.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.22.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.22.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.22.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.22.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.22.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.22.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.23.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.23.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.23.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.23.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.23.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.23.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.23.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.23.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.23.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.24.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.24.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.24.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.24.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.24.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.24.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.24.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.24.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.24.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.25.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.25.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.25.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.25.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.25.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.25.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.25.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.25.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.25.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.26.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.26.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.26.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.26.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.26.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.26.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.26.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.26.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.26.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.27.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.27.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.27.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.27.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.27.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.27.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.27.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.27.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.27.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.28.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.28.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.28.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.28.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.28.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.28.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.28.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.28.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.28.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.29.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.29.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.29.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.29.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.29.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.29.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.29.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.29.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.29.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.30.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.30.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.30.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.30.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.30.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.30.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.30.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.30.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.30.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.31.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.31.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.31.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.31.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.31.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.31.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.31.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.31.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.31.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.32.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.32.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.32.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.32.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.32.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.32.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.32.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.32.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.32.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.33.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.33.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.33.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.33.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.33.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.33.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.33.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.33.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.33.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.34.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.34.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.34.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.34.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.34.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.34.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.34.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.34.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.34.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.35.self_attn.q_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.self_attn.q_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.35.self_attn.k_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.self_attn.k_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.35.self_attn.v_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.self_attn.v_proj.lora_B.default.weight,"(256, 16)",4096,16384
base_model.model.model.layers.35.self_attn.o_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.self_attn.o_proj.lora_B.default.weight,"(2048, 16)",32768,131072
base_model.model.model.layers.35.mlp.gate_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.mlp.gate_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.35.mlp.up_proj.lora_A.default.weight,"(16, 2048)",32768,131072
base_model.model.model.layers.35.mlp.up_proj.lora_B.default.weight,"(11008, 16)",176128,704512
base_model.model.model.layers.35.mlp.down_proj.lora_A.default.weight,"(16, 11008)",176128,704512
base_model.model.model.layers.35.mlp.down_proj.lora_B.default.weight,"(2048, 16)",32768,131072
